time,Top_PT,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_ECRB,Top_FCR,pos_flex,pos_dev,pos_pro
0.98,0.20488458042882554,0.18812178519139225,0.0,-0.00028446558146414465,0.2185902071470574,0.27420969529914396,-0.0026263837536359335,-0.00035382592928534973,-0.00010073997573800687,0.1744839920478283,0.0,0.0
0.99,0.19407792627220083,0.18410942479539502,0.0,-0.0003268399077391974,0.22026155821523977,0.2762004598166126,-0.001316679469247578,-0.0003363743390382216,-5.2685210052755166e-05,0.174527487956741,0.0,0.0
1.0,0.18332584643947136,0.1783148786569233,0.0,-0.00034437858716939503,0.21609113859708734,0.27066855782670457,-0.00017700906508854837,-0.0002774813221040965,1.3634148148290346e-05,0.174527487956741,0.0,0.0
1.01,0.17262953381478852,0.17086373845299285,0.0,-0.00032850602991855386,0.20644500697783602,0.258043788607837,0.0007262417547309457,-0.00017276817208535536,9.559648280061512e-05,0.1744839920478283,0.0,0.0
1.02,0.16200047084896693,0.161948255171888,0.0,-0.0002720662276995921,0.19193427125747642,0.23908637338173536,0.0013619831784656114,-2.1820506339042178e-05,0.00018810050134659734,0.1743970110700952,0.0,0.0
1.03,0.15146879605559918,0.15181900583915864,0.0,-0.0001705004762222573,0.17338057713015323,0.2148509172627419,0.0017298192022130589,0.00017069516275443168,0.0002834617159783862,0.174266566701025,0.0,0.0
1.04,0.1410844389634384,0.14077721735529836,0.0,-2.305286710957053e-05,0.15178290417592305,0.18665011597588824,0.0018538233873565684,0.000394181775285564,0.0003715702733599431,0.1740926914500892,0.0,0.0
1.05,0.13091296394931304,0.129162171822929,0.0,0.0001661230378683519,0.1282685396878704,0.15599582497319492,0.0017755353113711135,0.0006316974623330508,0.00044036490932005193,0.1738754286506456,0.0,0.0
1.06,0.12102825634823904,0.11733051185398548,0.0,0.0003871060878866319,0.10401875552306929,0.1245047353692967,0.0015469087236400702,0.0008601433685194336,0.0004766585364692692,0.1736148324491385,0.0,0.0
1.07,0.11150351329513536,0.10562926860090395,0.0,0.0006237605356686879,0.08017582729772335,0.09377618889174687,0.0012237911091358502,0.0010512000446854172,0.0004673230433752519,0.1733109677916047,0.0,0.0
1.08,0.10240219947011386,0.09436804264099038,0.0,0.0008538610211818224,0.057749549894346316,0.06526432618370341,0.0008603465360880597,0.0011731177428504005,0.0004008052137236384,0.1729639104074873,0.0,0.0
1.09,0.09377151353057253,0.08379597508564725,0.0,0.0010499305930496737,0.03754183058795189,0.04016770355493205,0.0005046687520049964,0.0011934030184895111,0.00026890432148798043,0.1725737467907624,0.0,0.0
1.1,0.08564043595713511,0.07408712786835482,0.0,0.0011808922088756813,0.020101175308418553,0.01935158220498283,0.0001956843069612453,0.0010823607614490085,6.869820008569287e-05,0.172140574178383,0.0,0.0
1.11,0.07802195028351461,0.06533553906354472,0.0,0.0012145717795452797,0.00571109661715772,0.0033089673159043174,-3.867427051344002e-05,0.000817351241161474,-0.00019553712377308441,0.1716645005260453,0.0,0.0
1.12,0.07091676805090669,0.05755939515747245,0.0,0.0011210078420344244,-0.005589597998803286,-0.007840475698939735,-0.0001821328859722276,0.0003875130168236972,-0.000510603345596368,0.1711456444812843,0.0,0.0
1.13,0.06431610364038894,0.05071257377174887,0.0,0.0008764231433739059,-0.013960755439364083,-0.014318992622102528,-0.00022974100595185174,-0.0002014053781154864,-0.000853061070600414,0.1705841353539039,0.0,0.0
1.14,0.05820307224314273,0.044701169418311364,0.0,0.00046760347684180327,-0.019697519752688488,-0.01663459611222085,-0.00018672759155543046,-0.0009225566341177762,-0.0011885268057531427,0.1699801130837506,0.0,0.0
1.15,0.052553613992137024,0.03940240444443247,0.0,-0.00010368135642353608,-0.02315900891233386,-0.015508820881533523,-6.674280017265687e-05,-0.0017243671834571532,-0.00147177169829471,0.1693337282058372,0.0,0.0
1.16,0.04733747965399601,0.03468344331401594,0.0,-0.0008166783235209456,-0.02469809141485124,-0.011796661533570197,0.0001103287133629398,-0.0025283134294538543,-0.001647753833271386,0.1686451418128267,0.0,0.0
1.17,0.04251911950742138,0.030417994581028503,0.0,-0.0016286103032706117,-0.024600177829625727,-0.006405938562056894,0.00032081148583930797,-0.0032286111864627855,-0.0016536305369670122,0.1679145255148839,0.0,0.0
1.18,0.03805855310090625,0.026499131728079633,0.0,-0.0024731618764035346,-0.023037176396377788,-0.00022199545178675788,0.000539779876766219,-0.0036942271393281545,-0.0014216823045494374,0.1671420613969077,0.0,0.0
1.19,0.033912855660384225,0.02284741311084769,0.0,-0.003261035992095894,-0.020040611328805556,0.0059576822591219224,0.0007435367157271048,-0.003773447124780639,-0.0008829419310567425,0.1663279419731506,0.0,0.0
1.2,0.03003873721089387,0.019414061618687996,0.0,-0.0038830337999742927,-0.015495568809179494,0.011475360048056842,0.0009118565161758178,-0.0033009911754095594,2.882719394551366e-05,0.1654723701392409,0.0,0.0
1.21,0.026396029433221845,0.016179622479852804,0.0,-0.004215942383723746,-0.009154795495064167,0.015848524731298653,0.0010297905752498565,-0.002107362521008622,0.0013733031527645816,0.1645755591216162,0.0,0.0
1.22,0.022951526924814503,0.01314907711753495,0.0,-0.004131270895026873,-0.0006700896868697813,0.018786537169523016,0.0010888115529638564,-2.9782905297020407e-05,0.003200540578964666,0.1636377324243837,0.0,0.0
1.23,0.01968265240777698,0.010344723568842858,0.0,-0.0035065623229349925,0.010363744452652219,0.020187357043141525,0.0010871206803925657,0.003076259887578814,0.005549333339683125,0.1626591237736173,0.0,0.0
