time,Top_ECRL,Top_UI_UB5,Top_PQ,Top_FCU,Top_FDS4,Top_PL,Top_LU_RB5,Top_ECRB,Top_FCR,Top_RI5,Top_ECU,pos_flex,pos_dev,pos_pro
4.76,1.662240716433576e-05,0.0,1.3534143870437576e-10,0.3837910871313313,5.3558894945461545e-12,0.43072479937192437,0.0,1.7843686839331074e-09,2.5860296450554553e-07,0.0,1.379014919428518e-08,0.0,0.3253182475472347,0.0
4.77,2.5382542996325182e-05,0.0,-2.6018569138610637e-09,0.39185496458732605,2.111695792551587e-12,0.4278647751681551,0.0,2.3253112407271226e-09,1.9714267591407075e-07,0.0,1.6266268450272108e-08,0.0,0.3272754648487674,0.0
4.78,3.3692773219265066e-05,0.0,-4.565432314819856e-09,0.4003613498024833,-1.9496827448438866e-12,0.4247184463842246,0.0,2.5482972363961185e-09,1.3131280995169049e-07,0.0,1.6794665972892086e-08,0.0,0.3291511182432325,0.0
4.79,4.051040601314106e-05,0.0,-5.742149084226264e-09,0.40848492823768373,-6.4926516267499514e-12,0.42170425111528353,0.0,2.501055396824345e-09,6.821599476311833e-08,0.0,1.5741350467855453e-08,0.0,0.3309447402784818,0.0
4.8,4.4677013082982654e-05,0.0,-6.185997749403806e-09,0.41534817524842244,-1.1094370886552653e-11,0.4192682610309574,0.0,2.2448743144296724e-09,1.3291190965381783e-08,0.0,1.3533441925507965e-08,0.0,0.3326558839463013,0.0
4.81,4.5016466854406436e-05,0.0,-5.999103080611462e-09,0.4201128883839949,-1.5260574603673128e-11,0.4178371335500562,0.0,1.84636961086319e-09,-2.984449943137351e-08,0.0,1.06088335437356e-08,0.0,0.3342841227938155,0.0
4.82,4.046125048139701e-05,0.0,-5.3129275840729635e-09,0.4220817215100378,-1.8450949101609435e-11,0.41776572601678735,0.0,1.3705260432021708e-09,-5.9375062670170027e-08,0.0,7.3755458435287975e-09,0.0,0.3358290510297679,0.0
4.83,3.0200557008511874e-05,0.0,-4.2714437407186065e-09,0.4207937007299198,-2.0115273852460098e-11,0.4192876839973131,0.0,8.753539648204091e-10,-7.512393717334961e-08,0.0,4.182282021874836e-09,0.0,0.3372902836256534,0.0
4.84,1.3839548521908058e-05,0.0,-3.0173839755597802e-09,0.4160931009654347,-1.9740450236551825e-11,0.422479708472627,0.0,4.0828645337739633e-10,-7.829208245175996e-08,0.0,1.3003953270515144e-09,0.0,0.3386674564116746,0.0
4.85,-8.444931138122364e-06,0.0,-1.6821192914442395e-09,0.40815281599079606,-1.6907095467222225e-11,0.4272493041258579,0.0,4.264333255533747e-12,-7.113461570889249e-08,0.0,-1.0835627757508798e-09,0.0,0.3399602261675013,0.0
4.86,-3.577043576147336e-05,0.0,-3.7921493597897734e-10,0.39744459430808393,-1.135266172157267e-11,0.4333499921115168,0.0,-3.14680269311179e-10,-5.661020474821369e-08,0.0,-2.8662937760545697e-09,0.0,0.3411682707078079,0.0
4.87,-6.645749871587423e-05,0.0,7.986995972603092e-10,0.38466455890224294,-3.0362044085551652e-12,0.44041965971824104,0.0,-5.386223247728606e-10,-3.8031025439563086e-08,0.0,-4.019235141889599e-09,0.0,0.3422912889625686,0.0
4.88,-9.800225698855934e-05,0.0,1.7804059375510732e-09,0.37063361893458696,7.801834458012007e-12,0.44803192056330676,0.0,-6.68052038055333e-10,-1.8734175006072717e-08,0.0,-4.575286898736703e-09,0.0,0.3433290010520907,0.0
